dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kills,longest_kill,revives,total_distance,ride_distance,road_kills,swim_distance,vehicle_destroys,time_survived,walk_distance,weapons_acquired,win_place,team_count,map_name,duration
1,1,4,103,0,0,1,0.152,0,2.4,1.67,0,0.0,0,1376,0.74,4,5,16,에란겔,1656
1,0,10,85,0,1,1,0.061,0,3.6,2.51,0,0.0,1,1309,1.09,4,5,16,에란겔,1579
3,0,8,474,0,3,3,0.096,0,6.77,5.02,0,0.03,0,1417,1.72,4,4,16,태이고,1585
3,0,7,310,1,6,2,0.009,0,3.71,2.43,0,0.0,0,1254,1.28,7,6,15,태이고,1579
1,0,7,161,0,5,1,0.03,0,2.26,0.97,0,0.0,0,938,1.3,5,13,17,태이고,1842
2,1,3,200,2,0,2,0.006,0,0.75,0.0,0,0.0,0,775,0.75,8,9,16,미라마,1819
1,0,3,100,0,0,0,0.0,0,4.04,3.21,0,0.0,0,651,0.83,5,6,15,에란겔,1472
1,0,1,93,0,0,0,0.0,0,0.51,0.0,0,0.0,0,619,0.51,4,11,16,미라마,1628
0,0,3,0,0,0,1,0.106,0,3.1,1.15,0,0.0,0,989,1.95,4,8,16,미라마,1521
0,0,3,42,0,0,0,0.0,0,7.46,6.62,0,0.0,0,974,0.84,5,9,16,미라마,1846
0,0,0,0,0,0,0,0.0,0,0.88,0.82,0,0.0,0,194,0.07,3,6,16,미라마,1533
3,3,10,622,0,13,3,0.05,1,8.13,6.94,0,0.0,0,1478,1.19,9,3,15,미라마,1488
1,0,3,49,0,0,1,0.009,0,9.39,9.09,0,0.0,0,645,0.3,9,14,16,미라마,1788
3,0,6,393,1,4,3,0.138,0,3.74,1.96,0,0.0,0,1257,1.79,6,4,16,태이고,1832
0,2,4,158,0,2,2,0.116,1,5.37,4.33,0,0.0,0,936,1.04,8,9,16,태이고,1732
1,1,0,164,0,0,1,0.028,0,0.25,0.0,0,0.0,0,1062,0.25,6,5,16,에란겔,1694
1,0,8,69,0,9,1,0.003,1,2.99,1.23,0,0.0,0,1424,1.76,6,7,16,에란겔,1743
1,2,8,420,1,6,2,0.108,0,11.19,9.82,0,0.0,0,1352,1.37,4,6,16,미라마,1845
4,1,4,561,1,2,4,0.029,1,2.65,1.02,0,0.0,0,943,1.63,6,12,16,미라마,1929
0,0,9,127,0,1,1,0.058,0,5.2,1.85,0,0.04,0,1662,3.31,4,2,16,에란겔,1767
4,1,14,837,1,11,6,0.145,1,7.36,5.42,0,0.0,1,1875,1.93,7,4,15,미라마,1943
3,2,7,337,1,14,3,0.182,0,7.99,6.06,0,0.0,0,1440,1.93,5,7,17,에란겔,1830
0,1,4,71,0,2,0,0.0,0,2.1,1.04,0,0.0,0,879,1.05,5,5,16,에란겔,1639
0,1,1,27,0,1,0,0.0,0,1.83,0.81,0,0.0,0,799,1.02,3,13,16,에란겔,1962
