dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,match_id,total_distance,created_at,map_name,duration,roster_id,telemetry_link
2,0,7,283.0442,byplayer,0,1,14,1,2,72.502754,Hwet_J,account.573238034f5b4d368c993c5f4d36a2f1,0,7045.0317,0,0.0,0,1111,0,791.6174,5,12,172,75697e54-ec2b-41b0-a19e-6a5a766baad4,7836.6491,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,2497bb0c-e5a2-41c7-a2b6-b6e07717db9e,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,5,31.120811,byplayer,0,1,45,0,0,0.0,hyeonji,account.85681594d7044e5084e41cf4bf0d030e,0,7164.194,0,0.0,0,1122,0,833.87195,5,12,189,75697e54-ec2b-41b0-a19e-6a5a766baad4,7998.06595,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,2497bb0c-e5a2-41c7-a2b6-b6e07717db9e,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,3,58.0566,byplayer,0,0,55,0,0,0.0,wang115,account.01d97999c2364d5e8065482380c98346,0,0.0,0,0.0,0,498,0,804.4098,6,15,117,75697e54-ec2b-41b0-a19e-6a5a766baad4,804.4098,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,279d382e-6538-429c-b675-e3279d9de5a8,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,1,22.05,byplayer,0,3,54,0,0,0.0,Simple_PiKUQAQ,account.875d6063eaa14f1990ade8191a022d0a,0,0.0,0,0.0,0,498,0,796.19745,6,15,168,75697e54-ec2b-41b0-a19e-6a5a766baad4,796.19745,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,279d382e-6538-429c-b675-e3279d9de5a8,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,0,89.79,byplayer,0,0,56,0,0,0.0,Surer-L,account.396e4dad69d441398ff00ea131d25b31,0,0.0,0,0.0,0,494,0,673.0044,2,15,100,75697e54-ec2b-41b0-a19e-6a5a766baad4,673.0044,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,279d382e-6538-429c-b675-e3279d9de5a8,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,2,0.0,byplayer,0,0,57,0,0,0.0,Dr2198370,account.321956e587054daf8841f02fc007ae6d,0,0.0,0,0.0,0,328,0,460.43082,5,15,100,75697e54-ec2b-41b0-a19e-6a5a766baad4,460.43082,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,279d382e-6538-429c-b675-e3279d9de5a8,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
6,1,11,963.9857,byplayer,2,3,3,1,5,82.08133,7392_,account.f5f2e0195fcc40709289466d19ca7b5a,0,2099.9224,0,0.0,0,1609,0,2077.485,5,3,355,75697e54-ec2b-41b0-a19e-6a5a766baad4,4177.4074,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,9f8a13b3-9176-48ec-8e40-68273d8d0829,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
5,1,4,459.37234,byplayer,3,0,7,2,3,83.81954,Ncp-wulai,account.2587f95d38cd4b558a968aa8dc068365,0,2326.939,0,0.0,0,1606,0,2188.8762,8,3,100,75697e54-ec2b-41b0-a19e-6a5a766baad4,4515.8152,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,9f8a13b3-9176-48ec-8e40-68273d8d0829,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,3,0.0,byplayer,0,0,25,0,0,0.0,AnnabelBaby,account.1c24f1f9a0744d009775ee4268567e6c,0,1885.4893,0,0.0,0,1609,0,2160.8782,5,3,100,75697e54-ec2b-41b0-a19e-6a5a766baad4,4046.3675000000003,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,9f8a13b3-9176-48ec-8e40-68273d8d0829,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,1,7,64.34999,byplayer,0,1,26,0,0,0.0,85_xxxx,account.2632e45ee4eb444498e3eb3ece9dc615,1,1795.5546,0,0.0,0,1609,0,1893.1168,5,3,194,75697e54-ec2b-41b0-a19e-6a5a766baad4,3688.6714,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,9f8a13b3-9176-48ec-8e40-68273d8d0829,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
