dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,match_id,total_distance,created_at,map_name,duration,roster_id,telemetry_link
1,0,5,99.99999,byplayer,0,7,21,1,1,9.4985,3xiaokedou,account.2c8ae6fe09084b0eaae1c7e59190a0dd,1,9479.488,0,95.41184,0,1298,0,1078.526,8,8,156,d359cc52-668f-485a-99bd-cb741028ac39,10653.42584,2023-01-07T15:03:54Z,테이고,1910,c31ffc8f-7c02-40cd-92a6-bfee4434fa21,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
0,1,7,28.748442,byzone,0,4,41,0,0,0.0,King_Kens,account.c7e6bafd0e214e118e81a1114d1afdd0,0,9102.298,0,3.943123,0,1179,0,1015.62616,5,8,97,d359cc52-668f-485a-99bd-cb741028ac39,10121.867283,2023-01-07T15:03:54Z,테이고,1910,c31ffc8f-7c02-40cd-92a6-bfee4434fa21,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
0,2,3,85.31902,byzone,0,6,42,0,0,0.0,takemyroad,account.918531c28a7044f29065b06cc4649da2,0,7691.9756,0,0.0,0,842,0,759.24896,5,8,131,d359cc52-668f-485a-99bd-cb741028ac39,8451.22456,2023-01-07T15:03:54Z,테이고,1910,c31ffc8f-7c02-40cd-92a6-bfee4434fa21,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
2,0,4,23.758541,byplayer,0,7,12,2,2,101.55012,TTboomTT,account.7ef8dffff2cd44869e97ce8297d5de97,0,7683.0425,0,146.19734,0,1283,0,1242.9993,12,8,185,d359cc52-668f-485a-99bd-cb741028ac39,9072.23914,2023-01-07T15:03:54Z,테이고,1910,c31ffc8f-7c02-40cd-92a6-bfee4434fa21,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
0,0,5,0.0,byplayer,0,1,55,0,0,0.0,Syrian_A8uT,account.aa293cb5cd4949b2904c3b85f990f07b,0,4847.027,0,0.0,0,662,0,476.51395,6,14,156,d359cc52-668f-485a-99bd-cb741028ac39,5323.5409500000005,2023-01-07T15:03:54Z,테이고,1910,fd33d506-5678-4e9d-ae9d-6d3a16867460,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
0,0,4,0.0,byplayer,0,0,54,0,0,0.0,Syrian_blue-G,account.d370817f6df7479a9484325c11278e56,0,4826.688,0,0.0,0,662,0,453.89868,6,14,125,d359cc52-668f-485a-99bd-cb741028ac39,5280.58668,2023-01-07T15:03:54Z,테이고,1910,fd33d506-5678-4e9d-ae9d-6d3a16867460,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
0,0,0,0.0,byplayer,0,0,58,0,0,0.0,lzwscz,account.342791cb06404b67b788dde94f375aa4,0,0.0,0,0.0,0,112,0,46.603783,2,15,100,d359cc52-668f-485a-99bd-cb741028ac39,46.603783,2023-01-07T15:03:54Z,테이고,1910,fd33d506-5678-4e9d-ae9d-6d3a16867460,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
0,0,0,0.0,byplayer,0,0,57,0,0,0.0,qiaoer8989,account.add0de21647d4b31851c611b7bc22de9,0,0.0,0,0.0,0,134,0,55.551624,3,15,100,d359cc52-668f-485a-99bd-cb741028ac39,55.551624,2023-01-07T15:03:54Z,테이고,1910,fd33d506-5678-4e9d-ae9d-6d3a16867460,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
2,2,4,652.6933,byplayer,0,2,32,0,0,0.0,niusihan,account.98b693bf9ba74ac78fcd6de891428c2f,0,3205.7993,0,68.37993,0,1798,0,4093.7476,4,3,227,d359cc52-668f-485a-99bd-cb741028ac39,7367.92683,2023-01-07T15:03:54Z,테이고,1910,1b1d5fb2-7a8f-4a8f-ae43-9e92fce3b21a,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
5,1,9,502.98853,byplayer,0,0,10,1,2,128.23108,yaowzy666,account.35399b16e3aa42cea8298c2a265cd49c,0,2954.9797,0,58.27144,0,1628,0,3082.397,4,3,100,d359cc52-668f-485a-99bd-cb741028ac39,6095.64814,2023-01-07T15:03:54Z,테이고,1910,1b1d5fb2-7a8f-4a8f-ae43-9e92fce3b21a,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
